,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00009429,bacterially unswollen,N.A.
WBGene00009430,N.A.,N.A.
WBGene00009431,"chemical hypersensitive, dauer constitutive, pathogen susceptibility increased",N.A.
WBGene00009432,chemical hypersensitive,N.A.
WBGene00009433,dauer constitutive,N.A.
WBGene00009434,dauer constitutive,N.A.
WBGene00009435,N.A.,N.A.
WBGene00009436,N.A.,N.A.
WBGene00009437,N.A.,N.A.
WBGene00009438,N.A.,N.A.
WBGene00009439,N.A.,N.A.
WBGene00009440,"embryonic lethal, general pace of development defective early emb, protruding vulva, sterile F1, sterile progeny",N.A.
WBGene00009441,"organism development variant, shortened life span",N.A.
WBGene00009442,"embryonic lethal, larval arrest, organism development variant, reduced brood size, sick, sterile",N.A.
WBGene00009443,"chromosome segregation variant, organism development variant",N.A.
WBGene00009444,"anaphase bridging, cell membrane organization biogenesis variant, chromosome segregation variant, early embryonic lethal, early larval lethal, embryonic lethal, lethal, oocyte number decreased, oogenesis variant, passage through meiosis defective early emb, polar body number defective early emb, rachis morphology variant, sterile",21U RNA expression variant
WBGene00009445,"dauer lifespan extended, embryonic lethal",N.A.
WBGene00009446,N.A.,N.A.
WBGene00009447,N.A.,N.A.
WBGene00009448,"embryonic lethal, exploded through vulva, growth rate variant, larval arrest, reduced brood size, sick, sterile, transgene induced cosuppression variant",N.A.
WBGene00009449,N.A.,N.A.
WBGene00009450,N.A.,"lethal, sterile"
WBGene00009451,"mRNA levels increased, multivulva, transgene expression increased","high incidence male progeny, mRNA levels increased, RNA processing variant"
WBGene00009452,fat content reduced,N.A.
WBGene00009453,"egg laying variant, locomotion variant",N.A.
WBGene00009454,"avoids bacterial lawn, embryonic lethal, foraging behavior variant, general pace of development defective early emb, larval arrest, reduced brood size, slow development, slow embryonic development, slow growth",N.A.
WBGene00009455,"division axis defective, reduced brood size",N.A.
WBGene00009456,"division axis defective, pattern of transgene expression variant",N.A.
WBGene00009457,N.A.,N.A.
WBGene00009458,N.A.,N.A.
WBGene00009459,N.A.,N.A.
WBGene00009460,hypersensitive to protein aggregation induced paralysis,N.A.
WBGene00009461,N.A.,N.A.
WBGene00009462,N.A.,N.A.
WBGene00009463,N.A.,N.A.
WBGene00009464,N.A.,N.A.
WBGene00009465,N.A.,N.A.
WBGene00009466,N.A.,N.A.
WBGene00009467,N.A.,N.A.
WBGene00009468,N.A.,N.A.
WBGene00009469,"embryonic lethal, slow growth",N.A.
WBGene00009470,N.A.,N.A.
WBGene00009471,N.A.,N.A.
WBGene00009472,N.A.,N.A.
WBGene00009473,N.A.,N.A.
WBGene00009474,N.A.,N.A.
WBGene00009475,N.A.,N.A.
WBGene00009476,N.A.,N.A.
WBGene00009477,"cell cycle timing defective early emb, cell position defective, cell proliferation increased, division axis defective, embryonic lethal, embryonic lethal late emb, gonad morphology variant, late embryonic arrest, lethal, neuronal cell fate specification variant, no induction of antimicrobial peptide expression after infection, organism oxidative stress resistant, pattern of transgene expression variant, population fitness phenotype, sick","lethal, sterile"
WBGene00009478,"embryonic lethal, reduced brood size",N.A.
WBGene00009479,"cell cycle timing defective early emb, cell position defective, division axis defective, embryonic lethal, neuronal cell fate specification variant, pattern of transgene expression variant","lethal, sterile"
WBGene00009480,N.A.,N.A.
WBGene00009481,N.A.,N.A.
WBGene00009482,N.A.,N.A.
WBGene00009483,N.A.,N.A.
WBGene00009484,N.A.,N.A.
WBGene00009485,"embryonic lethal, reduced brood size",N.A.
WBGene00009486,N.A.,N.A.
WBGene00009487,N.A.,N.A.
WBGene00009488,N.A.,N.A.
WBGene00009489,N.A.,N.A.
WBGene00009490,dauer lifespan extended,N.A.
WBGene00009491,dauer lifespan extended,N.A.
WBGene00009492,N.A.,N.A.
WBGene00009493,N.A.,lethal
WBGene00009494,N.A.,N.A.
WBGene00009495,N.A.,N.A.
WBGene00009496,N.A.,N.A.
WBGene00009497,N.A.,N.A.
WBGene00009498,"accumulated cell corpses, accumulated germline cell corpses, apoptosis variant, asymmetric cell division variant, cell cell contacts abnormal early emb, cell cell contacts abnormal in four cell embryo, cell cycle timing defective early emb, cell membrane morphology variant, cell membrane organization biogenesis variant, cell position defective, development phenotype, division axis defective, embryonic lethal, embryonic morphology defective early emb, gastrulation variant, germ cell compartment morphology variant, germ cell compartment size variant, germ cell partition morphology variant, germline nuclear positioning variant, gonad morphology variant, lethal, lysosome morphology variant, maternal sterile, membrane trafficking variant, morphology phenotype, neuronal cell fate specification variant, oocyte morphology variant, oocyte septum formation variant, pattern of transgene expression variant, plasma membrane leaflet composition variant, protruding vulva, rachis wide, relative cell cycle timing defective early emb, seam cell morphology variant, slow growth, spindle orientation defective early emb, sterile, sterile progeny, transgene subcellular localization variant","germline proliferation variant, lethal, locomotion variant, maternal effect lethal emb, mitotic chromosome segregation variant, nuclear position defective early emb, oogenesis variant, protruding vulva, sick, sterile, tail withered, vesicle number variant"
WBGene00009499,N.A.,N.A.
WBGene00009500,N.A.,N.A.
WBGene00009501,N.A.,N.A.
WBGene00009502,organism development variant,N.A.
WBGene00009503,N.A.,N.A.
WBGene00009504,"egg laying variant, exploded through vulva, protruding vulva",N.A.
WBGene00009505,"clear, embryonic lethal, fat content reduced, larval arrest, locomotion variant, lysosome-related organelle morphology variant, patchy coloration, RAB-11 recycling endosome localization variant, RAB-11 recycling endosome morphology variant, transgene expression reduced, transgene subcellular localization variant",N.A.
WBGene00009507,"cell cycle timing defective early emb, cell position defective, chemical hypersensitive, division axis defective, embryonic lethal, exploded through vulva, locomotion variant, organism hypersensitive ionizing radiation, relative cell cycle timing defective early emb, sterile progeny","cell cleavage variant emb, embryonic arrest, embryonic lethal, gonad development variant, lethal, male fertility reduced, male sterile, sterile"
WBGene00009508,N.A.,N.A.
WBGene00009509,N.A.,N.A.
WBGene00009510,N.A.,N.A.
WBGene00009511,N.A.,N.A.
WBGene00009512,N.A.,N.A.
WBGene00009513,N.A.,N.A.
WBGene00009514,N.A.,N.A.
WBGene00009515,N.A.,N.A.
WBGene00009516,N.A.,N.A.
WBGene00009517,N.A.,N.A.
WBGene00009518,N.A.,N.A.
WBGene00009519,N.A.,N.A.
WBGene00009520,N.A.,N.A.
WBGene00009521,"cell membrane organization biogenesis variant, chromosome condensation variant, diplotene progression during oogenesis variant, embryo osmotic integrity defective early emb, embryonic lethal, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell partition morphology variant, germline nuclear positioning variant, larval arrest, larval lethal, lysosome-related organelle morphology variant, maternal sterile, molt defect, nuclear appearance variant, oocyte morphology variant, oocyte number decreased, oocytes small, oogenesis variant, pachytene region organization variant, sick, slow growth, sterile, sterile progeny, transgene expression increased, transgene subcellular localization variant",N.A.
WBGene00009522,N.A.,N.A.
WBGene00009523,N.A.,N.A.
WBGene00009524,N.A.,N.A.
WBGene00009525,embryonic lethal,N.A.
WBGene00009526,N.A.,N.A.
WBGene00009527,N.A.,N.A.
WBGene00009528,N.A.,N.A.
WBGene00009529,N.A.,N.A.
WBGene00009530,N.A.,N.A.
WBGene00009531,N.A.,N.A.
WBGene00009532,transgene expression reduced,N.A.
WBGene00009533,N.A.,N.A.
WBGene00009534,N.A.,N.A.
WBGene00009535,N.A.,N.A.
WBGene00009536,N.A.,N.A.
WBGene00009537,"embryonic lethal, transgene expression reduced",N.A.
WBGene00009538,N.A.,N.A.
WBGene00009539,N.A.,N.A.
WBGene00009540,"egg laying variant, male tail morphology variant, reproductive system physiology variant",N.A.
WBGene00009541,N.A.,N.A.
WBGene00009542,"apoptosis reduced, cell membrane organization biogenesis variant, cell secretion variant, chromosome condensation variant, diakinesis region organization variant, diplotene region organization variant, embryonic lethal, germ cell compartment expansion variant, germ cell compartment large, germ cell compartment morphology variant, germ cell compartment multinucleate, germ cell compartment size variant, germ cell compartment small, germ cell partition morphology variant, germline nuclear positioning variant, gonad small, larval lethal, lethal, maternal sterile, multiple nuclei oocyte, nuclear appearance variant, nuclear fallout, nuclei small, oocyte morphology variant, oocyte septum formation variant, oocytes small, pachytene region organization variant, pattern of transgene expression variant, pattern protein expression variant, protein expression variant, protein transport variant, rachis narrow, receptor mediated endocytosis defective, shortened life span, sick, sterile, transgene expression increased, transgene subcellular localization variant",N.A.
WBGene00009543,protein aggregation variant,N.A.
WBGene00009544,N.A.,N.A.
WBGene00009546,"cell fate transformation, protein degradation variant",N.A.
WBGene00009547,N.A.,N.A.
WBGene00009548,late larval arrest,N.A.
WBGene00009549,locomotion variant,N.A.
WBGene00009550,N.A.,N.A.
WBGene00009551,N.A.,N.A.
WBGene00009552,"fat content increased, lethal, pattern of transgene expression variant","accumulated cell corpses, accumulated germline cell corpses, accumulated somatic cell corpses, engulfment failure by killer cell, phagosome maturation defective, phagosome sealing defective, phosphatidylinositol 3-phosphate levels reduced, transgene subcellular localization variant"
WBGene00009553,"embryonic lethal, larval arrest, protruding vulva, reduced brood size, sterile, transgene expression increased",N.A.
WBGene00009554,embryonic lethal,N.A.
WBGene00009555,"transgene expression reduced, transgene expression variant",N.A.
WBGene00009556,N.A.,fewer eggs laid
WBGene00009557,N.A.,fewer eggs laid
WBGene00009558,N.A.,N.A.
WBGene00009559,maternal sterile,N.A.
WBGene00009560,fat content reduced,phasmid socket absent
WBGene00009561,N.A.,N.A.
WBGene00009562,N.A.,N.A.
WBGene00009563,N.A.,"lethal, sterile"
WBGene00009565,"cell position defective, division axis defective",N.A.
WBGene00009566,N.A.,N.A.
WBGene00009567,N.A.,N.A.
WBGene00009568,N.A.,N.A.
WBGene00009569,N.A.,N.A.
WBGene00009570,N.A.,N.A.
WBGene00009571,N.A.,N.A.
WBGene00009572,transgene expression reduced,N.A.
WBGene00009573,N.A.,N.A.
WBGene00009574,N.A.,"lethal, sterile"
WBGene00009575,embryonic lethal,N.A.
WBGene00009576,N.A.,N.A.
WBGene00009577,dauer lifespan extended,N.A.
WBGene00009578,sterile,N.A.
WBGene00009579,N.A.,N.A.
WBGene00009580,chromosome segregation variant,N.A.
WBGene00009581,N.A.,N.A.
WBGene00009582,N.A.,N.A.
WBGene00009583,"embryonic lethal, larval arrest, late larval arrest",N.A.
WBGene00009584,N.A.,N.A.
WBGene00009585,N.A.,N.A.
WBGene00009586,N.A.,N.A.
WBGene00009587,"distal tip cell migration variant, embryonic lethal, gonad development variant, lysosome-related organelle morphology variant, male gonad development variant, male somatic gonad development variant, neuron degeneration enhanced, pattern of transgene expression variant, RAB-11 recycling endosome morphology variant, receptor mediated endocytosis defective, sick, sterile, transgene subcellular localization variant",N.A.
WBGene00009588,slow growth,N.A.
WBGene00009589,slow growth,sterile
WBGene00009590,N.A.,N.A.
WBGene00009591,N.A.,N.A.
WBGene00009592,N.A.,N.A.
WBGene00009593,N.A.,N.A.
WBGene00009594,"genotoxic chemical induced apoptosis variant, transgene expression increased",genotoxic chemical induced apoptosis variant
WBGene00009595,"age associated fluorescence increased, avoids bacterial lawn, embryonic lethal, gonad development variant, larval arrest, larval lethal, lethal, male gonad development variant, male somatic gonad development variant, organism morphology variant, pattern of transgene expression variant, protruding vulva, reduced brood size, shortened life span, sick, slow growth, sterile, terminal arrest variable, thin, transgene expression reduced",N.A.
WBGene00009596,N.A.,N.A.
WBGene00009597,transgene expression reduced,N.A.
WBGene00009598,N.A.,N.A.
WBGene00009599,N.A.,N.A.
WBGene00009600,N.A.,N.A.
WBGene00009601,N.A.,N.A.
WBGene00009602,"age associated fluorescence increased, shortened life span",N.A.
WBGene00009603,N.A.,N.A.
WBGene00009604,oocyte morphology variant,N.A.
WBGene00009605,embryonic lethal,"lethal, sterile"
WBGene00009606,N.A.,N.A.
WBGene00009607,N.A.,N.A.
WBGene00009608,"lipid composition variant, transgene expression increased",N.A.
WBGene00009609,maternal sterile,N.A.
WBGene00009610,N.A.,N.A.
WBGene00009611,dauer lifespan extended,N.A.
WBGene00009612,N.A.,N.A.
WBGene00009613,N.A.,N.A.
WBGene00009614,N.A.,N.A.
WBGene00009615,N.A.,N.A.
WBGene00009616,N.A.,N.A.
WBGene00009617,"exploded through vulva, locomotion variant, molt defect",N.A.
WBGene00009618,N.A.,N.A.
WBGene00009619,fewer egg laying events during active,N.A.
WBGene00009620,N.A.,N.A.
WBGene00009621,N.A.,N.A.
WBGene00009622,N.A.,N.A.
WBGene00009623,N.A.,N.A.
WBGene00009624,N.A.,N.A.
WBGene00009625,N.A.,N.A.
WBGene00009626,"cytoplasmic processing body variant, dumpy, embryonic lethal, larval arrest, molt defect, no induction of antimicrobial peptide expression after infection, organism morphology variant, patchy coloration, slow growth, transgene subcellular localization variant","lethal, sterile"
WBGene00009627,N.A.,"lethal, sterile"
WBGene00009628,"organism oxidative stress response variant, short, transgene expression increased","dauer constitutive, extended life span, lethal, sterile"
WBGene00009629,N.A.,enhanced taste aversion defective
WBGene00009630,N.A.,N.A.
WBGene00009631,N.A.,N.A.
WBGene00009632,N.A.,N.A.
WBGene00009633,N.A.,N.A.
WBGene00009634,N.A.,N.A.
WBGene00009635,N.A.,N.A.
WBGene00009636,N.A.,N.A.
WBGene00009637,N.A.,N.A.
WBGene00009638,N.A.,N.A.
WBGene00009639,N.A.,N.A.
WBGene00009640,N.A.,N.A.
WBGene00009641,N.A.,N.A.
WBGene00009642,N.A.,N.A.
WBGene00009643,aldicarb resistant,N.A.
WBGene00009644,N.A.,N.A.
WBGene00009645,N.A.,N.A.
WBGene00009646,N.A.,N.A.
WBGene00009647,N.A.,N.A.
WBGene00009648,"organism development variant, slow growth",N.A.
WBGene00009649,dauer lifespan extended,N.A.
WBGene00009650,"age associated fluorescence increased, apoptosis fails to occur, cell cycle progression variant, chemical hypersensitive, exploded through vulva, germ cell ionizing radiation response variant, locomotion variant, organism hypersensitive ionizing radiation, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective, reduced brood size, shortened life span, slow growth, spontaneous mutation rate increased, sterile progeny, transgene expression reduced, transgene subcellular localization variant",N.A.
WBGene00009651,N.A.,N.A.
WBGene00009652,N.A.,N.A.
WBGene00009653,"dumpy, embryonic lethal, larval arrest, reduced brood size",N.A.
WBGene00009654,"accumulated germline cell corpses, apoptosis reduced, apoptosis variant, cell membrane organization biogenesis variant, chromosome condensation variant, cytoplasmic processing body variant, diplotene region organization variant, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment size variant, germline nuclear positioning variant, gonad small, maternal sterile, molt defect, nuclear appearance variant, nuclear fallout, oocyte morphology variant, oocyte septum formation variant, pattern of transgene expression variant, protein aggregation variant, rachis narrow, receptor mediated endocytosis defective, sick, sterile, transgene expression reduced, transgene subcellular localization variant","lethal, sterile"
WBGene00009656,N.A.,N.A.
WBGene00009657,rays displaced,N.A.
WBGene00009658,N.A.,N.A.
WBGene00009659,N.A.,N.A.
WBGene00009660,"protein aggregation variant, transgene subcellular localization variant",N.A.
WBGene00009661,"cytoplasmic processing body variant, embryonic lethal, larval arrest, larval lethal, locomotion variant, nicotine hypersensitive, oocyte morphology variant, reduced brood size, slow growth, small, sterile, transgene subcellular localization variant","lethal, sterile"
WBGene00009662,N.A.,N.A.
WBGene00009663,N.A.,N.A.
WBGene00009664,"avoids bacterial lawn, cell cycle timing defective early emb, cell position defective, cytoplasmic processing body variant, division axis defective, dumpy, embryonic lethal, embryonic terminal arrest variable emb, extended life span, locomotion variant, maternal sterile, neuronal cell fate specification variant, pattern of transgene expression variant, protein metabolism variant, protruding vulva, receptor mediated endocytosis defective, RNAi resistant, slow development, slow growth, somatic transgene silencing variant, sterile, terminal arrest variable, transgene expression increased, transgene subcellular localization variant, transposon silencing variant",N.A.
WBGene00009665,N.A.,N.A.
WBGene00009666,"axon midline crossing variant, cord commissures fail to reach target, embryonic lethal, extended life span, germline transgene silencing variant, organism development variant, RNAi resistant, slow growth, somatic transgene silencing variant, thin, transgene expression increased, ventral cord patterning variant",N.A.
WBGene00009667,N.A.,N.A.
WBGene00009668,"embryonic lethal, extended life span, germline transgene silencing variant, larval arrest, locomotion variant, organism development variant, paralyzed, protruding vulva, reduced brood size, RNAi resistant, sick, somatic transgene silencing variant, sterile, sterile progeny, transgene expression increased","lethal, sterile"
WBGene00009669,N.A.,N.A.
WBGene00009670,N.A.,N.A.
WBGene00009671,"alternative splicing variant, cell cycle timing defective early emb, cell position defective, cell proliferation increased, division axis defective, ectopic cleavage furrow early emb, embryonic lethal, embryonic lethal late emb, excess intestinal cells, germ cell mitosis variant, gonad development variant, larval arrest, late embryonic arrest, lethal, loose mitotic furrow early emb, male gonad development variant, male somatic gonad development variant, molt defect, multiple cytoplasmic cavities early emb, neuronal cell fate specification variant, nuclear envelope assembly variant early emb, pattern of transgene expression variant, protruding vulva, RAB-11 recycling endosome morphology variant, receptor mediated endocytosis defective, RNAi resistant, slow growth, somatic transgene silencing variant, sterile, transgene expression increased, transgene subcellular localization variant","embryonic lethal, lethal, sterile"
WBGene00009672,"accumulated germline cell corpses, apoptosis increased, cell cycle timing defective early emb, cell position defective, chromosome condensation variant, diplotene region organization variant, division axis defective, embryonic lethal, excess seam cells, fewer seam cells, germ cell compartment expansion variant, germ cell compartment large, germ cell compartment morphology variant, germ cell compartment size variant, germ cell compartment small, germ cell development variant, larval arrest, late embryonic arrest, lethal, locomotion variant, masculinization of germline, maternal sterile, molt defect, neuronal cell fate specification variant, nuclear appearance variant, nuclei small, oocyte morphology variant, oocytes disorganized, oocytes small, pachytene region organization variant, pattern of transgene expression variant, protruding vulva, rachis morphology variant, rachis narrow, receptor mediated endocytosis defective, RNAi resistant, slow growth, somatic transgene silencing variant, sterile, transgene expression increased, transgene expression reduced, tumorous germline","lethal, sterile"
WBGene00009673,N.A.,N.A.
WBGene00009674,N.A.,N.A.
WBGene00009675,N.A.,N.A.
WBGene00009676,N.A.,N.A.
WBGene00009677,N.A.,N.A.
WBGene00009678,N.A.,N.A.
WBGene00009679,N.A.,N.A.
WBGene00009680,fat content increased,N.A.
WBGene00009681,N.A.,N.A.
WBGene00009682,fat content increased,N.A.
WBGene00009683,N.A.,N.A.
WBGene00009684,fat content increased,N.A.
WBGene00009685,"dauer constitutive, embryonic lethal, transgene expression reduced",N.A.
WBGene00009686,N.A.,N.A.
WBGene00009687,N.A.,N.A.
WBGene00009688,"embryonic lethal, growth rate variant, larval arrest, locomotion variant, nicotine hypersensitive, reduced brood size, slow growth, small, sterile",N.A.
WBGene00009689,N.A.,N.A.
WBGene00009690,N.A.,N.A.
WBGene00009691,"cadmium hypersensitive, slow growth",N.A.
WBGene00009692,"cadmium hypersensitive, slow growth",N.A.
WBGene00009693,N.A.,N.A.
WBGene00009695,N.A.,N.A.
WBGene00009696,N.A.,N.A.
WBGene00009697,N.A.,N.A.
WBGene00009698,transgene expression reduced,N.A.
WBGene00009700,avoids bacterial lawn,N.A.
WBGene00009701,"actin cytoskeleton dynamics phenotype, apoptosis reduced, avoids bacterial lawn, diplotene region organization variant, eggshell formation variant, embryonic lethal, germ cell compartment expansion variant, germ cell compartment multinucleate, germ cell partition morphology variant, maternal sterile, nuclear appearance variant, nuclei small, oocyte number decreased, oogenesis variant, pachytene region organization variant, rachis morphology variant, rachis narrow, reduced brood size, sterile, sterile progeny, transgene subcellular localization variant","lethal, pheromone production variant, sterile"
WBGene00009702,N.A.,N.A.
WBGene00009703,N.A.,N.A.
WBGene00009704,N.A.,N.A.
WBGene00009705,N.A.,N.A.
WBGene00009706,N.A.,N.A.
WBGene00009707,N.A.,N.A.
WBGene00009708,N.A.,N.A.
WBGene00009709,N.A.,N.A.
WBGene00009710,N.A.,N.A.
WBGene00009711,"early larval arrest, larval arrest, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth",N.A.
WBGene00009712,"avoids bacterial lawn, embryonic lethal, general pace of development defective early emb, larval arrest, no induction of antimicrobial peptide expression after infection, reduced brood size, slow growth, sterile, transgene expression increased, transgene expression reduced, transgene expression variant",N.A.
WBGene00009713,N.A.,N.A.
WBGene00009714,N.A.,extended life span
WBGene00009715,N.A.,N.A.
WBGene00009716,N.A.,N.A.
WBGene00009717,"body wall muscle sarcomere morphology variant, mitochondria alignment variant, multivulva, protein expression reduced, vulvaless",N.A.
WBGene00009720,N.A.,N.A.
WBGene00009721,N.A.,N.A.
WBGene00009722,N.A.,N.A.
WBGene00009723,N.A.,N.A.
WBGene00009724,dauer constitutive,N.A.
WBGene00009725,clear,N.A.
WBGene00009726,N.A.,N.A.
WBGene00009727,fat content increased,N.A.
WBGene00009728,organism development variant,gastrulation variant
WBGene00009729,N.A.,N.A.
WBGene00009730,aldicarb resistant,N.A.
WBGene00009731,N.A.,"DNA damage induced focus formation variant, DNA recombination variant"
WBGene00009732,"larval lethal, locomotion variant, slow growth",N.A.
WBGene00009733,N.A.,N.A.
WBGene00009734,"cell membrane organization biogenesis variant, diplotene progression during oogenesis variant, early larval lethal, embryo osmotic integrity defective early emb, embryonic lethal, germ cell compartment expansion variant, larval arrest, lethal, no induction of antimicrobial peptide expression after infection, nuclear appearance variant, nuclei small, oocytes small, pachytene region organization variant, protruding vulva, rachis narrow, reduced brood size, shortened life span, sterile, thin, transgene expression increased",N.A.
WBGene00009735,early larval lethal,N.A.
WBGene00009736,N.A.,N.A.
WBGene00009738,pathogen avoidance variant,N.A.
WBGene00009739,"chemical resistant, clear, fat associated bodies reduced, gamma ray induced apoptosis decreased, mitochondria morphology variant, radiation induced germ cell apoptosis resistant, slow growth, sterile, sterile progeny, transgene expression increased",N.A.
WBGene00009740,N.A.,N.A.
WBGene00009741,"extended life span, mitochondrial membrane potential reduced",N.A.
WBGene00009742,N.A.,N.A.
WBGene00009743,N.A.,"dye filling defect, larval lethal, lethal, sterile"
WBGene00009744,"Bacillus thuringiensis toxin hypersensitive, embryonic lethal, pore forming toxin hypersensitive",N.A.
WBGene00009745,N.A.,"lethal, sterile"
WBGene00009746,"accumulated germline cell corpses, apoptosis variant, cell membrane organization biogenesis variant, germ cell compartment morphology variant, germ cell compartment multinucleate, gonad morphology variant, maternal sterile",N.A.
WBGene00009747,N.A.,N.A.
WBGene00009748,N.A.,"egg laying defective, harsh body touch resistant, neuron physiology phenotype"
WBGene00009749,N.A.,N.A.
WBGene00009750,N.A.,N.A.
WBGene00009751,N.A.,N.A.
WBGene00009752,N.A.,N.A.
WBGene00009753,"accumulated cell corpses, dauer constitutive",N.A.
WBGene00009754,N.A.,N.A.
WBGene00009755,transgene expression increased,N.A.
WBGene00009756,N.A.,N.A.
WBGene00009757,N.A.,N.A.
WBGene00009758,N.A.,N.A.
WBGene00009759,N.A.,N.A.
WBGene00009760,N.A.,N.A.
WBGene00009761,N.A.,N.A.
WBGene00009762,N.A.,N.A.
WBGene00009763,N.A.,N.A.
WBGene00009764,N.A.,N.A.
WBGene00009765,N.A.,N.A.
WBGene00009766,N.A.,N.A.
WBGene00009767,N.A.,N.A.
WBGene00009768,N.A.,N.A.
WBGene00009769,N.A.,N.A.
WBGene00009770,N.A.,N.A.
WBGene00009771,"pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth",N.A.
WBGene00009772,N.A.,N.A.
WBGene00009773,N.A.,N.A.
WBGene00009774,"embryonic lethal, transgene expression increased",N.A.
WBGene00009775,N.A.,N.A.
WBGene00009776,N.A.,N.A.
WBGene00009777,N.A.,N.A.
WBGene00009778,N.A.,N.A.
WBGene00009779,N.A.,N.A.
WBGene00009780,N.A.,N.A.
WBGene00009781,fat content increased,N.A.
WBGene00009782,N.A.,N.A.
WBGene00009783,neuron degeneration enhanced,N.A.
WBGene00009784,N.A.,N.A.
WBGene00009785,N.A.,N.A.
WBGene00009786,N.A.,N.A.
WBGene00009787,embryonic lethal,N.A.
WBGene00009788,N.A.,N.A.
WBGene00009789,N.A.,N.A.
WBGene00009790,N.A.,N.A.
WBGene00009791,N.A.,N.A.
WBGene00009793,"muscle cell attachment variant, protein expression reduced",N.A.
WBGene00009796,N.A.,N.A.
WBGene00009797,N.A.,N.A.
WBGene00009798,N.A.,N.A.
WBGene00009799,N.A.,N.A.
WBGene00009800,"mitochondria alignment variant, protein aggregation variant",N.A.
WBGene00009801,N.A.,N.A.
WBGene00009802,N.A.,N.A.
WBGene00009803,N.A.,N.A.
WBGene00009804,"dauer constitutive, fat content increased",N.A.
WBGene00009805,"dauer constitutive, fat content increased",N.A.
WBGene00009806,N.A.,N.A.
WBGene00009807,N.A.,N.A.
WBGene00009808,N.A.,N.A.
WBGene00009809,N.A.,N.A.
WBGene00009810,N.A.,N.A.
WBGene00009811,slow growth,N.A.
WBGene00009812,transgene expression increased,N.A.
WBGene00009813,N.A.,"amino acid metabolism variant, cobalt hypersensitive, iron hypersensitive, manganese hypersensitivity, metabolic pathway variant, nickel toxicity resistant, resistant to copper, zinc toxicity resistant"
WBGene00009814,N.A.,N.A.
WBGene00009815,N.A.,N.A.
WBGene00009816,N.A.,N.A.
WBGene00009817,N.A.,N.A.
WBGene00009818,N.A.,"lethal, sterile"
WBGene00009819,N.A.,N.A.
WBGene00009820,"RAB-11 recycling endosome localization variant, transgene subcellular localization variant",N.A.
WBGene00009821,N.A.,N.A.
WBGene00009822,N.A.,N.A.
WBGene00009823,larval lethal,N.A.
WBGene00009824,N.A.,N.A.
WBGene00009825,"embryonic lethal, protein aggregation variant, sterile, transgene subcellular localization variant",N.A.
WBGene00009826,N.A.,N.A.
WBGene00009827,transgene expression increased,N.A.
WBGene00009828,N.A.,N.A.
WBGene00009829,"egg laying defective, embryonic lethal, no anchor cell","lethal, sterile"
WBGene00009830,transgene expression increased,N.A.
WBGene00009831,N.A.,N.A.
WBGene00009832,N.A.,N.A.
WBGene00009833,N.A.,N.A.
WBGene00009834,male tail morphology variant,"dumpy, gene expression variant, loss of asymmetry ASE, loss of left right asymmetry"
WBGene00009835,N.A.,N.A.
WBGene00009836,fat content increased,N.A.
WBGene00009837,N.A.,N.A.
WBGene00009838,N.A.,N.A.
WBGene00009839,N.A.,N.A.
WBGene00009840,N.A.,N.A.
WBGene00009841,N.A.,N.A.
WBGene00009842,N.A.,N.A.
WBGene00009843,N.A.,N.A.
WBGene00009844,male response to contact defective,male response to hermaphrodite variant
WBGene00009846,N.A.,N.A.
WBGene00009848,N.A.,N.A.
WBGene00009849,N.A.,N.A.
WBGene00009850,N.A.,N.A.
WBGene00009851,N.A.,N.A.
WBGene00009852,N.A.,N.A.
WBGene00009853,N.A.,N.A.
WBGene00009854,N.A.,N.A.
WBGene00009855,N.A.,N.A.
WBGene00009856,N.A.,N.A.
WBGene00009857,N.A.,N.A.
WBGene00009858,N.A.,N.A.
WBGene00009859,N.A.,N.A.
WBGene00009860,N.A.,N.A.
WBGene00009861,N.A.,N.A.
WBGene00009862,N.A.,N.A.
WBGene00009863,dauer lifespan extended,N.A.
WBGene00009864,N.A.,N.A.
WBGene00009865,"embryonic lethal, locomotion variant, organism morphology variant, slow growth",N.A.
WBGene00009866,N.A.,N.A.
WBGene00009867,N.A.,N.A.
WBGene00009868,N.A.,N.A.
WBGene00009869,N.A.,N.A.
WBGene00009870,N.A.,N.A.
WBGene00009871,N.A.,N.A.
WBGene00009872,N.A.,N.A.
WBGene00009873,N.A.,N.A.
WBGene00009874,N.A.,N.A.
WBGene00009875,N.A.,N.A.
WBGene00009876,N.A.,N.A.
WBGene00009877,N.A.,N.A.
WBGene00009878,extended life span,N.A.
WBGene00009879,"dumpy, embryonic lethal, larval arrest, larval lethal, locomotion variant, organism morphology variant, slow growth",N.A.
WBGene00009880,"dumpy, embryonic lethal, larval arrest, larval lethal, locomotion variant, organism morphology variant, slow growth",N.A.
